CDTNUCLEO;DESCR;POBL
1760704;VILLAFRANCA DEL CASTILLO-LA MOCHA CHICA;3898
1770101;VILLANUEVA DEL PARDILLO;16379
1770401;VEGAS - SANTA MARIA (LAS);1498
1780101;VILLANUEVA DE PERALES;1642
1790101;EUROVILLAS;1604
1790201;VILLAR DEL OLMO;667
1800101;VILLAREJO DE SALVANÉS;7710
1800201;HUERTAS DE VILLAREJO (LAS);114
1810101;VILLAVICIOSA DE ODÓN;21650
1810201;BOSQUE (EL);7142
1810301;DEHESA DEL SOTILLO;189
1810302;MONTE DE LA VILLA;2
1810501;SALINAS Y CASA FRANCO (LAS);64
1810701;ARCO IRIS;2
1820201;LLANOS (LOS);32
1820301;CABEZAS (LAS);26
1820401;TERCIO DE LA LAGUNA (EL);27
1820501;VILLAVIEJA DEL LOZOYA;207
1820601;CAÑADA (LA);7
1820701;SOLANILLA (LA);9
1830101;ESTACIÓN Y PAJARES (LA);1108
1830201;PEÑA ROSAL;27
1830301;ZARZALEJO;665
1830601;MORALES (LOS);8
9010101;NAVAS DE BUITRAGO;74
9010201;SIETEIGLESIAS;225
9010301;FUENTE BLANQUILLA;3
9010402;LOZOYUELA;1075
9010501;MAZACORTA;22
9010901;TOMILLERAS (LAS);0
9020101;PAREDES DE BUITRAGO;67
9020201;SERRADA DE LA FUENTE;79
9020301;CINCO VILLAS;119
9020401;MANJIRÓN;433
9020501;PRESA DE PUENTES VIEJAS;0
9030101;MORALEJA (LA);0
9030102;SOTO DE VIÑUELAS;2473
9030103;TRES CANTOS;50282
