Provincia;Municipio;Código Unidad Poblacional;CUP;COD;Unidad Poblacional;field_6;Poblacion_Total;Poblacion
28 Madrid;113 Pinto;"201";"201";"1130201";ARENAS (LAS);NUC;"7";7
28 Madrid;114 Piñuécar-Gandullas;"101";"101";"1140101";GANDULLAS;NUC;"62";62
28 Madrid;114 Piñuécar-Gandullas;"201";"201";"1140201";PIÑUÉCAR;NUC;"89";89
28 Madrid;115 Pozuelo de Alarcón;"101";"101";"1150101";ÁNGELES (LOS);NUC;"1728";1728
28 Madrid;115 Pozuelo de Alarcón;"401";"401";"1150401";POZUELO DE ALARCÓN;NUC;"59169";59169
28 Madrid;115 Pozuelo de Alarcón;"2001";"2001";"1152001";ARROYO MEAQUES;NUC;"5167";5167
28 Madrid;115 Pozuelo de Alarcón;"2301";"2301";"1152301";HÚMERA-SOMOSAGUAS;NUC;"16845";16845
28 Madrid;115 Pozuelo de Alarcón;"2401";"2401";"1152401";MONTECLARO-LA CABAÑA;NUC;"5999";5999
28 Madrid;116 Pozuelo del Rey;"101";"101";"1160101";POZUELO DEL REY;NUC;"1298";1298
28 Madrid;117 Prádena del Rincón;"101";"101";"1170101";PRÁDENA DEL RINCÓN;NUC;"137";137
28 Madrid;118 Puebla de la Sierra;"101";"101";"1180101";PUEBLA DE LA SIERRA;NUC;"91";91
28 Madrid;119 Quijorna;"101";"101";"1190101";PERALES DE MILLA;NUC;"0";0
28 Madrid;119 Quijorna;"202";"202";"1190202";QUIJORNA;NUC;"3927";3927
28 Madrid;120 Rascafría;"101";"101";"1200101";OTERUELO DEL VALLE;NUC;"111";111
28 Madrid;120 Rascafría;"201";"201";"1200201";COTOS (LOS);NUC;"0";0
28 Madrid;120 Rascafría;"203";"203";"1200203";PAULAR (EL);NUC;"9";9
28 Madrid;120 Rascafría;"204";"204";"1200204";RASCAFRÍA;NUC;"1495";1495
28 Madrid;120 Rascafría;"401";"401";"1200401";GRIFOS (LOS);NUC;"62";62
28 Madrid;121 Redueña;"101";"101";"1210101";REDUEÑA;NUC;"289";289
28 Madrid;122 Ribatejada;"101";"101";"1220101";RIBATEJADA;NUC;"647";647
28 Madrid;122 Ribatejada;"201";"201";"1220201";PARAJE DEL ARZOBISPO;NUC;"219";219
28 Madrid;122 Ribatejada;"301";"301";"1220301";BARRANCOS (LOS);NUC;"31";31
28 Madrid;123 Rivas-Vaciamadrid;"601";"601";"1230601";RIVAS DE JARAMA;NUC;"0";0
28 Madrid;123 Rivas-Vaciamadrid;"701";"701";"1230701";RIVAS-VACIAMADRID;NUC;"16031";16031
28 Madrid;123 Rivas-Vaciamadrid;"1001";"1001";"1231001";CAÑADA REAL DE LA GALIANA;NUC;"1769";1769
28 Madrid;123 Rivas-Vaciamadrid;"1101";"1101";"1231101";PUENTE DE ARGANDA;NUC;"0";0
28 Madrid;123 Rivas-Vaciamadrid;"1801";"1801";"1231801";PARTIJA-SANTA MÓNICA (LA);NUC;"83779";83779
28 Madrid;124 Robledillo de la Jara;"101";"101";"1240101";ROBLEDILLO DE LA JARA;NUC;"123";123
28 Madrid;125 Robledo de Chavela;"201";"201";"1250201";ROBLEDO DE CHAVELA;NUC;"4697";4697
28 Madrid;126 Robregordo;"101";"101";"1260101";ROBREGORDO;NUC;"68";68
28 Madrid;"127 Rozas de Madrid, Las";"101";"101";"1270101";CHOPERA (LA);NUC;"739";739
28 Madrid;"127 Rozas de Madrid, Las";"401";"401";"1270401";ROZAS DE MADRID (LAS);NUC;"51817";51817
28 Madrid;"127 Rozas de Madrid, Las";"1001";"1001";"1271001";DEHESA (LA);NUC;"258";258
28 Madrid;"127 Rozas de Madrid, Las";"1101";"1101";"1271101";GARZO (EL);NUC;"0";0
28 Madrid;"127 Rozas de Madrid, Las";"1501";"1501";"1271501";MATAS-PINAR-MONTE ROZAS (LAS);NUC;"46324";46324
28 Madrid;128 Rozas de Puerto Real;"101";"101";"1280101";ENTREPINOS;NUC;"125";125
28 Madrid;128 Rozas de Puerto Real;"201";"201";"1280201";ROZAS DE PUERTO REAL;NUC;"422";422
28 Madrid;129 San Agustín del Guadalix;"101";"101";"1290101";SAN AGUSTÍN DEL GUADALIX;NUC;"13234";13234
28 Madrid;129 San Agustín del Guadalix;"301";"301";"1290301";BARRANCO HONDO;NUC;"0";0
28 Madrid;129 San Agustín del Guadalix;"401";"401";"1290401";IBERDROLA;NUC;"0";0
