Provincia;Municipio;Código Unidad Poblacional;CODIGO;Unidad Poblacional;field_6;Poblacion_Total
28 Madrid;160 Valdemorillo;901;1600901;PIZARRERA (LA);NUC;229
28 Madrid;008 Aldea del Fresno;102;0080102;MONTEROS (LOS);NUC;238
28 Madrid;135 Santa María de la Alameda;901;1350901;ROBLEDONDO;NUC;241
28 Madrid;133 San Martín de Valdeiglesias;201;1330201;COSTA DE MADRID;NUC;245
28 Madrid;003 Alameda del Valle;101;0030101;ALAMEDA DEL VALLE;NUC;253
28 Madrid;028 Bustarviejo;901;0280901;PEDREGAL (EL);NUC;253
28 Madrid;008 Aldea del Fresno;701;0080701;CARAVAN GARDEN;NUC;258
28 Madrid;127 Rozas de Madrid, Las;1001;1271001;DEHESA (LA);NUC;258
28 Madrid;065 Getafe;901;0650901;ADARO;NUC;260
28 Madrid;018 Becerril de la Sierra;201;0180201;BERROCAL (EL);NUC;265
28 Madrid;011 Ambite;201;0110201;SIERRA DE TAJUÑA;NUC;270
28 Madrid;096 Navalcarnero;101;0960101;CALYPO II;NUC;272
28 Madrid;172 Villalbilla;201;1720201;GURUGÚ (EL);NUC;276
28 Madrid;015 Arroyomolinos;301;0150301;RÍO GUADARRAMA;NUC;284
28 Madrid;121 Redueña;101;1210101;REDUEÑA;NUC;289
28 Madrid;031 Cadalso de los Vidrios;501;0310501;ENTREPINOS;NUC;295
28 Madrid;061 Galapagar;1601;0611601;RONCESVALLES;NUC;297
28 Madrid;062 Garganta de los Montes;301;0620301;GARGANTA DE LOS MONTES;NUC;303
28 Madrid;100 Nuevo Baztán;401;1000401;NUEVO BAZTÁN;NUC;306
28 Madrid;042 Colmenar del Arroyo;201;0420201;VALLE DEL SOL;NUC;307
28 Madrid;023 Boalo, El;501;0230501;PEÑA DE LAS GALLINAS;NUC;308
28 Madrid;141 Sevilla la Nueva;403;1410403;MANANTIALES II (LOS);NUC;309
28 Madrid;089 Moraleja de Enmedio;101;0890101;COLINAS (LAS);NUC;313
28 Madrid;054 Escorial, El;101;0540101;ALCOR (EL);NUC;321
28 Madrid;099 Navas del Rey;101;0990101;MORRO (EL);NUC;322
28 Madrid;018 Becerril de la Sierra;401;0180401;MONTELLANO;NUC;323
28 Madrid;158 Valdemanco;201;1580201;CERRO MATALLERA;NUC;329
28 Madrid;085 Miraflores de la Sierra;301;0850301;PINAREJOS (LOS);NUC;333
28 Madrid;104 Paracuellos de Jarama;101;1040101;BELVIS DE JARAMA;NUC;333
28 Madrid;153 Torremocha de Jarama;501;1530501;RETIRO DE TORREMOCHA (EL);NUC;341
28 Madrid;132 San Martín de la Vega;1001;1321001;VALLEQUILLAS NORTE;NUC;343
28 Madrid;010 Alpedrete;1701;0101701;VALDENCINA;NUC;350
28 Madrid;060 Fuentidueña de Tajo;201;0600201;ALARILLA;NUC;354
28 Madrid;152 Torrelodones;601;1520601;GASCO (EL);NUC;355
28 Madrid;061 Galapagar;401;0610401;CUESTAS (LAS);NUC;372
28 Madrid;088 Montejo de la Sierra;101;0880101;MONTEJO DE LA SIERRA;NUC;374
28 Madrid;101 Olmeda de las Fuentes;101;1010101;OLMEDA DE LAS FUENTES;NUC;404
28 Madrid;134 San Sebastián de los Reyes;801;1340801;GRANJILLA (LA);NUC;407
28 Madrid;032 Camarma de Esteruelas;301;0320301;ALCAMAR;NUC;420
28 Madrid;128 Rozas de Puerto Real;201;1280201;ROZAS DE PUERTO REAL;NUC;422
28 Madrid;011 Ambite;101;0110101;AMBITE;NUC;423
28 Madrid;156 Valdeavero;201;1560201;CARDOSA (LA);NUC;432
28 Madrid;902 Puentes Viejas;401;9020401;MANJIRÓN;NUC;433
28 Madrid;025 Brea de Tajo;101;0250101;BREA DE TAJO;NUC;434
